Content Rating,Category,Installs
Adults only 18+,COMICS,1000000.0
Adults only 18+,SPORTS,1000000.0
Everyone,ART_AND_DESIGN,63828100.0
Everyone,AUTO_AND_VEHICLES,42130211.0
Everyone,BEAUTY,26717050.0
Everyone,BOOKS_AND_REFERENCE,241243566.0
Everyone,BUSINESS,1001811830.0
Everyone,COMICS,12476100.0
Everyone,COMMUNICATION,30132549591.0
Everyone,DATING,2027896.0
Everyone,EDUCATION,806402000.0
Everyone,ENTERTAINMENT,506050000.0
Everyone,EVENTS,14764951.0
Everyone,FAMILY,6252011608.0
Everyone,FINANCE,875536734.0
Everyone,FOOD_AND_DRINK,256688141.0
Everyone,GAME,20803529545.0
Everyone,HEALTH_AND_FITNESS,1548720602.0
Everyone,HOUSE_AND_HOME,168202461.0
Everyone,LIBRARIES_AND_DEMO,62995910.0
Everyone,LIFESTYLE,405948718.0
Everyone,MAPS_AND_NAVIGATION,719171790.0
Everyone,MEDICAL,52908417.0
Everyone,NEWS_AND_MAGAZINES,107035540.0
Everyone,PARENTING,31371110.0
Everyone,PERSONALIZATION,1470557446.0
Everyone,PHOTOGRAPHY,9600740645.0
Everyone,PRODUCTIVITY,14166083244.0
Everyone,SHOPPING,1366698585.0
Everyone,SOCIAL,638774881.0
Everyone,SPORTS,1430051898.0
Everyone,TOOLS,11392696715.0
Everyone,TRAVEL_AND_LOCAL,6837287096.0
Everyone,VIDEO_PLAYERS,2705146720.0
Everyone,WEATHER,414500520.0
Everyone 10+,ART_AND_DESIGN,500000.0
Everyone 10+,AUTO_AND_VEHICLES,1000000.0
Everyone 10+,BEAUTY,110000.0
Everyone 10+,BOOKS_AND_REFERENCE,21110000.0
Everyone 10+,BUSINESS,100.0
Everyone 10+,COMICS,510050.0
Everyone 10+,EDUCATION,62000000.0
Everyone 10+,ENTERTAINMENT,41000000.0
Everyone 10+,EVENTS,101100.0
Everyone 10+,FAMILY,1776904075.0
Everyone 10+,FOOD_AND_DRINK,110000.0
Everyone 10+,GAME,9429860050.0
Everyone 10+,HEALTH_AND_FITNESS,2050110.0
Everyone 10+,LIFESTYLE,10201000.0
Everyone 10+,MAPS_AND_NAVIGATION,100.0
Everyone 10+,MEDICAL,182110.0
Everyone 10+,NEWS_AND_MAGAZINES,1704057100.0
Everyone 10+,PERSONALIZATION,12510000.0
Everyone 10+,PRODUCTIVITY,5000.0
Everyone 10+,SOCIAL,1010000.0
Everyone 10+,SPORTS,150561000.0
Everyone 10+,VIDEO_PLAYERS,10100000.0
Everyone 10+,WEATHER,10000000.0
Mature 17+,BEAUTY,120000.0
Mature 17+,BOOKS_AND_REFERENCE,5501000.0
Mature 17+,BUSINESS,5.0
Mature 17+,COMICS,2310000.0
Mature 17+,COMMUNICATION,380110010.0
Mature 17+,DATING,260252001.0
Mature 17+,EDUCATION,2050000.0
Mature 17+,ENTERTAINMENT,53100000.0
Mature 17+,FAMILY,63930032.0
Mature 17+,GAME,1064622210.0
Mature 17+,HEALTH_AND_FITNESS,5101000.0
Mature 17+,LIFESTYLE,112616000.0
Mature 17+,MAPS_AND_NAVIGATION,10000.0
Mature 17+,MEDICAL,105800.0
Mature 17+,NEWS_AND_MAGAZINES,1543515010.0
Mature 17+,PARENTING,100000.0
Mature 17+,PERSONALIZATION,1721010.0
Mature 17+,PHOTOGRAPHY,221000000.0
Mature 17+,PRODUCTIVITY,1000.0
Mature 17+,SHOPPING,15100000.0
Mature 17+,SOCIAL,1744621000.0
Mature 17+,SPORTS,27000000.0
Mature 17+,TOOLS,5100.0
Mature 17+,TRAVEL_AND_LOCAL,10000000.0
Mature 17+,VIDEO_PLAYERS,10600000.0
Mature 17+,WEATHER,1000000.0
Teen,ART_AND_DESIGN,60010000.0
Teen,AUTO_AND_VEHICLES,10000000.0
Teen,BEAUTY,250000.0
Teen,BOOKS_AND_REFERENCE,1653615010.0
Teen,BUSINESS,102930.0
Teen,COMICS,39790000.0
Teen,COMMUNICATION,2134616650.0
Teen,DATING,2030910.0
Teen,EDUCATION,1000000.0
Teen,ENTERTAINMENT,2269010000.0
Teen,EVENTS,1107110.0
Teen,FAMILY,2165417290.0
Teen,FINANCE,1112000.0
Teen,FOOD_AND_DRINK,17100610.0
Teen,GAME,3788012610.0
Teen,HEALTH_AND_FITNESS,27200800.0
Teen,HOUSE_AND_HOME,510000.0
Teen,LIFESTYLE,8877821.0
Teen,MAPS_AND_NAVIGATION,5100000.0
Teen,MEDICAL,61110.0
Teen,NEWS_AND_MAGAZINES,4141710110.0
Teen,PARENTING,50000.0
Teen,PERSONALIZATION,840706326.0
Teen,PHOTOGRAPHY,266507010.0
Teen,PRODUCTIVITY,10002125.0
Teen,SHOPPING,1866050200.0
Teen,SOCIAL,11685462021.0
Teen,SPORTS,142561600.0
Teen,TOOLS,60020100.0
Teen,TRAVEL_AND_LOCAL,21600050.0
Teen,VIDEO_PLAYERS,3496156000.0
Teen,WEATHER,600000.0
Unrated,FAMILY,500.0
Unrated,TOOLS,50000.0
